nohup: ignoring input
time=2025-06-24T05:49:12.422-04:00 level=INFO source=routes.go:1235 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:4096 OLLAMA_DEBUG:INFO OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:11434 OLLAMA_INTEL_GPU:false OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/home/algo/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:0 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_SCHED_SPREAD:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2025-06-24T05:49:12.422-04:00 level=INFO source=images.go:480 msg="total blobs: 0"
time=2025-06-24T05:49:12.422-04:00 level=INFO source=images.go:487 msg="total unused blobs removed: 0"
time=2025-06-24T05:49:12.422-04:00 level=INFO source=routes.go:1288 msg="Listening on [::]:11434 (version 0.9.2)"
time=2025-06-24T05:49:12.422-04:00 level=INFO source=gpu.go:217 msg="looking for compatible GPUs"
time=2025-06-24T05:49:12.731-04:00 level=INFO source=types.go:130 msg="inference compute" id=GPU-8940ac52-a44f-5a33-68d5-a0c3a734bf01 library=cuda variant=v12 compute=8.9 driver=12.9 name="NVIDIA GeForce RTX 4090" total="23.5 GiB" available="20.5 GiB"
time=2025-06-24T05:49:12.731-04:00 level=INFO source=types.go:130 msg="inference compute" id=GPU-bf1a509b-f3b8-a5af-98af-f8ba895a75ac library=cuda variant=v12 compute=8.9 driver=12.9 name="NVIDIA GeForce RTX 4090" total="23.5 GiB" available="20.5 GiB"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.394711ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    5.082308ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.193609ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.440171ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.986667ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.913977ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    5.006637ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    5.031127ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.130079ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.656124ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.898196ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.551823ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.446272ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.026668ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.949416ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.814775ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.653713ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    4.785375ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:49:45 | 404 |    3.941727ms |   192.168.7.179 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.667357ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.619106ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.743488ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.625486ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.790128ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.471814ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.162442ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.206902ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.248492ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.891278ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.351014ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.686276ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.596045ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |     1.04575ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.730688ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |     314.023µs |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.169282ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.713757ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.865129ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.466645ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.917159ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.601866ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.107421ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |     2.03385ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.884289ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    1.838428ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.409384ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.144241ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.146861ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.085781ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.274412ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    3.011709ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.066091ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.266723ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.924359ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    2.184601ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    3.097621ms |             ::1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |     3.07301ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    3.508535ms |       127.0.0.1 | POST     "/v1/chat/completions"
[GIN] 2025/06/24 - 05:50:21 | 404 |    3.293703ms |       127.0.0.1 | POST     "/v1/chat/completions"
